velocity,suit
0.000000,0.2400
0.010000,0.2531
0.020000,0.2662
0.030000,0.2794
0.040000,0.2925
0.045720,0.3000
0.050000,0.3193
0.060000,0.3644
0.070000,0.4095
0.080000,0.4546
0.090000,0.4998
0.100000,0.5449
0.110000,0.5900
0.120000,0.6351
0.130000,0.6802
0.140000,0.7253
0.150000,0.7704
0.160000,0.8155
0.167640,0.8500
0.170000,0.8529
0.180000,0.8652
0.190000,0.8775
0.200000,0.8898
0.210000,0.9021
0.220000,0.9144
0.230000,0.9267
0.240000,0.9390
0.250000,0.9513
0.260000,0.9636
0.270000,0.9759
0.280000,0.9882
0.289560,1.0000
0.290000,1.0000
0.300000,1.0000
0.310000,1.0000
0.320000,1.0000
0.320040,1.0000
0.330000,0.9775
0.340000,0.9550
0.350000,0.9324
0.360000,0.9099
0.370000,0.8873
0.380000,0.8648
0.390000,0.8422
0.400000,0.8196
0.410000,0.7971
0.420000,0.7745
0.430000,0.7520
0.440000,0.7294
0.450000,0.7069
0.460000,0.6843
0.470000,0.6618
0.480000,0.6392
0.490000,0.6166
0.500000,0.5941
0.510000,0.5715
0.520000,0.5490
0.530000,0.5264
0.540000,0.5039
0.550000,0.4813
0.560000,0.4588
0.563880,0.4500
0.570000,0.4450
0.580000,0.4368
0.590000,0.4286
0.600000,0.4204
0.610000,0.4122
0.620000,0.4040
0.630000,0.3958
0.640000,0.3876
0.650000,0.3794
0.660000,0.3712
0.670000,0.3630
0.680000,0.3548
0.690000,0.3466
0.700000,0.3384
0.710000,0.3302
0.720000,0.3219
0.730000,0.3137
0.740000,0.3055
0.750000,0.2973
0.760000,0.2891
0.770000,0.2809
0.780000,0.2727
0.790000,0.2645
0.800000,0.2563
0.810000,0.2481
0.820000,0.2399
0.830000,0.2317
0.840000,0.2235
0.850000,0.2153
0.860000,0.2071
0.870000,0.1989
0.880000,0.1907
0.890000,0.1825
0.900000,0.1743
0.910000,0.1661
0.920000,0.1579
0.930000,0.1497
0.940000,0.1415
0.950000,0.1333
0.960000,0.1251
0.970000,0.1169
0.980000,0.1087
0.990000,0.1005
1.000000,0.0923
1.010000,0.0841
1.020000,0.0759
1.030000,0.0677
1.040000,0.0595
1.050000,0.0513
1.060000,0.0431
1.070000,0.0349
1.080000,0.0267
1.090000,0.0185
1.100000,0.0103
1.110000,0.0021
1.112520,0.0000
30.175200,0.0000
