depth,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.050000,0.0000
0.060000,0.0000
0.070000,0.0000
0.080000,0.0000
0.090000,0.0000
0.100000,0.0000
0.106680,0.0000
0.110000,0.0145
0.120000,0.0583
0.130000,0.1020
0.140000,0.1458
0.150000,0.1895
0.160000,0.2332
0.170000,0.2770
0.180000,0.3207
0.190000,0.3645
0.200000,0.4082
0.210000,0.4520
0.220000,0.4957
0.230000,0.5395
0.240000,0.5832
0.250000,0.6269
0.260000,0.6707
0.270000,0.7144
0.280000,0.7582
0.289560,0.8000
0.290000,0.8007
0.300000,0.8160
0.310000,0.8313
0.320000,0.8466
0.330000,0.8619
0.340000,0.8772
0.350000,0.8925
0.360000,0.9078
0.370000,0.9232
0.380000,0.9385
0.381000,0.9400
0.390000,0.9435
0.400000,0.9475
0.410000,0.9514
0.420000,0.9554
0.430000,0.9593
0.440000,0.9632
0.450000,0.9672
0.460000,0.9711
0.470000,0.9750
0.480000,0.9790
0.490000,0.9829
0.500000,0.9869
0.510000,0.9908
0.520000,0.9947
0.530000,0.9987
0.533400,1.0000
0.540000,0.9870
0.550000,0.9673
0.560000,0.9476
0.570000,0.9280
0.580000,0.9083
0.590000,0.8886
0.600000,0.8689
0.610000,0.8492
0.620000,0.8295
0.630000,0.8098
0.640000,0.7902
0.650000,0.7705
0.660000,0.7508
0.670000,0.7311
0.680000,0.7114
0.690000,0.6917
0.700000,0.6720
0.710000,0.6524
0.720000,0.6327
0.730000,0.6130
0.740000,0.5933
0.750000,0.5736
0.760000,0.5539
0.770000,0.5343
0.780000,0.5146
0.790000,0.4949
0.800000,0.4752
0.810000,0.4555
0.820000,0.4358
0.830000,0.4161
0.838200,0.4000
30.175200,0.4000
