depth,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.045720,0.0000
0.050000,0.0028
0.060000,0.0094
0.070000,0.0159
0.080000,0.0225
0.090000,0.0291
0.100000,0.0356
0.110000,0.0422
0.120000,0.0487
0.130000,0.0553
0.140000,0.0619
0.150000,0.0684
0.160000,0.0750
0.170000,0.0815
0.180000,0.0881
0.190000,0.0947
0.198120,0.1000
0.200000,0.1047
0.210000,0.1295
0.220000,0.1544
0.230000,0.1792
0.240000,0.2040
0.250000,0.2289
0.260000,0.2537
0.270000,0.2786
0.280000,0.3034
0.290000,0.3282
0.300000,0.3531
0.310000,0.3779
0.320000,0.4028
0.330000,0.4276
0.340000,0.4524
0.350000,0.4773
0.360000,0.5021
0.370000,0.5270
0.380000,0.5518
0.390000,0.5766
0.400000,0.6015
0.410000,0.6263
0.411480,0.6300
0.420000,0.6380
0.430000,0.6473
0.440000,0.6566
0.450000,0.6660
0.460000,0.6753
0.470000,0.6846
0.480000,0.6940
0.490000,0.7033
0.500000,0.7127
0.510000,0.7220
0.520000,0.7313
0.530000,0.7407
0.540000,0.7500
0.550000,0.7593
0.560000,0.7687
0.570000,0.7780
0.580000,0.7874
0.590000,0.7967
0.600000,0.8060
0.610000,0.8154
0.620000,0.8247
0.630000,0.8340
0.640000,0.8434
0.650000,0.8527
0.660000,0.8621
0.670000,0.8714
0.680000,0.8807
0.690000,0.8901
0.700000,0.8994
0.710000,0.9088
0.720000,0.9181
0.730000,0.9274
0.740000,0.9368
0.750000,0.9461
0.760000,0.9554
0.770000,0.9648
0.780000,0.9741
0.790000,0.9835
0.800000,0.9928
0.807720,1.0000
30.175200,1.0000
