velocity,suit
0.000000,0.5500
0.010000,0.5697
0.020000,0.5894
0.030000,0.6091
0.040000,0.6287
0.050000,0.6484
0.060000,0.6681
0.070000,0.6878
0.080000,0.7075
0.090000,0.7272
0.100000,0.7469
0.110000,0.7665
0.120000,0.7862
0.130000,0.8059
0.140000,0.8256
0.150000,0.8453
0.160000,0.8650
0.170000,0.8846
0.180000,0.9043
0.190000,0.9240
0.200000,0.9437
0.210000,0.9634
0.220000,0.9831
0.228600,1.0000
0.230000,1.0000
0.240000,1.0000
0.250000,1.0000
0.260000,1.0000
0.270000,1.0000
0.280000,1.0000
0.289560,1.0000
0.290000,0.9991
0.300000,0.9777
0.310000,0.9564
0.320000,0.9351
0.330000,0.9138
0.340000,0.8924
0.350000,0.8711
0.350520,0.8700
0.360000,0.8630
0.370000,0.8556
0.380000,0.8482
0.390000,0.8409
0.400000,0.8335
0.410000,0.8261
0.420000,0.8187
0.430000,0.8113
0.440000,0.8039
0.450000,0.7966
0.460000,0.7892
0.470000,0.7818
0.472440,0.7800
0.480000,0.7602
0.490000,0.7339
0.500000,0.7077
0.510000,0.6814
0.520000,0.6552
0.530000,0.6289
0.540000,0.6027
0.550000,0.5764
0.560000,0.5502
0.563880,0.5400
0.570000,0.5363
0.580000,0.5302
0.590000,0.5242
0.600000,0.5181
0.610000,0.5121
0.620000,0.5060
0.630000,0.5000
0.640000,0.4939
0.650000,0.4878
0.660000,0.4818
0.670000,0.4757
0.680000,0.4697
0.690000,0.4636
0.700000,0.4576
0.710000,0.4515
0.720000,0.4454
0.730000,0.4394
0.740000,0.4333
0.750000,0.4273
0.760000,0.4212
0.770000,0.4152
0.780000,0.4091
0.790000,0.4030
0.800000,0.3970
0.810000,0.3909
0.820000,0.3849
0.830000,0.3788
0.840000,0.3728
0.850000,0.3667
0.860000,0.3606
0.870000,0.3546
0.880000,0.3485
0.890000,0.3425
0.900000,0.3364
0.910000,0.3304
0.920000,0.3243
0.930000,0.3182
0.940000,0.3122
0.950000,0.3061
0.960000,0.3001
0.960120,0.3000
0.970000,0.2893
0.980000,0.2786
0.990000,0.2678
1.000000,0.2570
1.010000,0.2462
1.020000,0.2354
1.030000,0.2247
1.040000,0.2139
1.050000,0.2031
1.060000,0.1923
1.070000,0.1816
1.080000,0.1708
1.090000,0.1600
1.100000,0.1492
1.110000,0.1384
1.120000,0.1277
1.130000,0.1169
1.140000,0.1061
1.150000,0.0953
1.160000,0.0845
1.170000,0.0738
1.173480,0.0700
1.180000,0.0687
1.190000,0.0667
1.200000,0.0647
1.210000,0.0627
1.220000,0.0607
1.230000,0.0587
1.240000,0.0567
1.250000,0.0547
1.260000,0.0527
1.270000,0.0507
1.280000,0.0487
1.290000,0.0467
1.300000,0.0447
1.310000,0.0427
1.320000,0.0407
1.330000,0.0387
1.340000,0.0367
1.350000,0.0347
1.360000,0.0328
1.370000,0.0308
1.380000,0.0288
1.390000,0.0268
1.400000,0.0248
1.410000,0.0228
1.420000,0.0208
1.430000,0.0188
1.440000,0.0168
1.450000,0.0148
1.460000,0.0128
1.470000,0.0108
1.480000,0.0088
1.490000,0.0068
1.500000,0.0048
1.510000,0.0028
1.520000,0.0008
1.524000,0.0000
30.175200,0.0000
